title	creator	publisher	language	ncid	edition	publicationDate	note	subject
三ケ尻林 (2)・台		埼玉県埋蔵文化財調査事業団	jpn	BN1328186X		1984.3	日本鉄道建設公団の委託による	NDC8:210.2
新情勢下の日本外交	林三郎[著]	世界の動き社	jpn	BN13285361		1971.10		
神戸市総合基本計画		神戸市	jpn	BN13292301		1965.11		NDC6:601.164
強君と弱君	石井勲編	双柿舎	jpn	BN13319066		[1983.10]		
How to!FMTOWNSII	千葉憲昭著	八戸ファームウェアシステムHFS出版部	jpn	BN13326006		1994.4		NDC8:548.2
ソ連の崩壊と新国家の誕生	細川隆雄著	創成社	jpn	BN13354340		1995.9		NDC8:332.38
おとなの事情	林真理子著	文藝春秋	jpn	BN13364774		1995.7		NDC8:914.6
歴史の散歩道 : 仁鮒地区		二ツ井町公民館仁鮒分館	jpn	BN13371714		1986.3-1987.3	[正]: 折り込図1枚	NDC8:212.4
七里ケ浜パヴロバ館 : 日本に亡命したバレリーナ	白浜研一郎著	文園社	jpn	BN13402126	第2刷	1990.9	エリアナ・パヴロバの肖像あり	NDC8:769.1
在日本朝鮮人概況	坪江汕二著	巌南堂書店	jpn	BN13426612		1965	付:表3枚  謄写版	NDC6:316.821
ビジネスマンのための気象情報活用術 : 空模様が読めれば経済がわかる!	平沼洋司著	PHP研究所	jpn	BN13429905		1995.3		NDC8:451.04
司法試験ベーシック・ノート	森圭司著	早稲田経営出版	jpn	BN13430460		1995-		
